code,excess_mort,gdp_per_capita,median_age,continent
ABW,3305.707526052788,41273.61328125,40.766998291015625,North America
ALB,5802.199692048083,15492.0673828125,35.94300079345703,Europe
ARE,646.4309540394106,74917.671875,30.902999877929688,Asia
ARG,4278.063459591853,22461.44140625,31.73900032043457,South America
ARM,8077.1816739803,16057.0068359375,35.814998626708984,Asia
ATG,-654.3027638460721,22321.869140625,35.071998596191406,North America
AUS,1144.6147312362425,51090.26171875,37.512001037597656,Oceania
AUT,2742.8626992763866,55867.18359375,42.832000732421875,Europe
AZE,3792.002343039026,15094.2841796875,32.0620002746582,Asia
BEL,2345.9997317543975,53287.15234375,41.1510009765625,Europe
BGR,9767.056411856687,26961.291015625,44.15399932861328,Europe
BHS,2630.4176915601365,34663.49609375,34.23400115966797,North America
BIH,6935.41116287562,16737.2265625,44.55899810791016,Europe
BLR,3259.7452197167686,19092.111328125,40.19200134277344,Europe
BLZ,1799.2276964315042,9473.7060546875,25.520999908447266,North America
BMU,3048.6948295630045,81165.6484375,44.702999114990234,North America
BOL,5224.844893411089,8244.2353515625,24.392000198364254,South America
BRA,3825.959944725789,15093.46484375,33.50600051879883,South America
BRB,1333.34273555561,15417.296875,38.652000427246094,North America
BRN,1233.051089039092,58669.90234375,31.275999069213867,Asia
BTN,387.84257158748943,11595.68359375,28.809999465942383,Asia
CAN,1490.4481643755294,49296.37890625,40.25299835205078,North America
CHE,2042.4999356201768,72278.2109375,41.96099853515625,Europe
CHL,3313.68651371545,25886.12109375,35.5260009765625,South America
COL,3681.481801969636,15616.751953125,31.180999755859375,South America
CPV,1312.6262148362953,7379.24755859375,27.32200050354004,Africa
CRI,1678.99076556264,22070.921875,33.5359992980957,North America
CYP,1765.9093800893245,44996.31640625,37.3390007019043,Europe
CZE,4309.072678800204,41052.34765625,42.64500045776367,Europe
DEU,2417.088370450151,53969.625,45.02399826049805,Europe
DNK,714.035363974299,59935.12109375,41.21599960327149,Europe
DOM,865.7395537643707,19338.015625,27.316999435424805,North America
DZA,2801.9657924707194,11198.2333984375,27.982999801635746,Africa
ECU,4435.773404851591,10859.2177734375,27.975000381469727,South America
EGY,2980.290419734094,12780.759765625,23.812999725341797,Africa
ESP,2710.797738097955,40223.01171875,44.391998291015625,Europe
EST,3228.769543143597,37711.8203125,41.625,Europe
FIN,2027.4544643673848,49275.15234375,42.5260009765625,Europe
FJI,2112.3386226547673,12388.1083984375,27.475000381469727,Oceania
FRA,1804.557713607353,45904.41015625,41.56700134277344,Europe
GBR,3040.7032053892785,47587.16796875,39.50400161743164,Europe
GEO,6946.584873914144,17078.341796875,36.63399887084961,Asia
GRC,3712.8106184208127,31704.42578125,45.39099884033203,Europe
GTM,3036.183275215297,9162.052734375,22.243999481201172,North America
HKG,2357.546463985607,58478.8828125,45.59099960327149,Asia
HRV,5563.342901397989,34302.34765625,44.61100006103515,Europe
HUN,3927.299489806933,35356.77734375,42.99300003051758,Europe
IRL,1820.4125130381856,112445.421875,37.99700164794922,Europe
IRN,3064.127162725752,15461.0791015625,32.340999603271484,Asia
ISL,1301.8154427023662,55567.4375,35.74700164794922,Europe
ISR,1378.0230544205242,44393.30078125,29.086000442504883,Asia
ITA,4110.49019581583,44292.19140625,47.11600112915039,Europe
JAM,1929.8175813992495,10107.865234375,31.152999877929688,North America
JOR,1480.172308936432,9490.6669921875,23.94300079345703,Asia
JPN,1155.8551263822676,41837.91015625,48.54800033569336,Asia
KAZ,4030.450838736903,26093.294921875,29.347999572753903,Asia
KGZ,2058.986366416133,5070.150390625,24.975000381469727,Asia
KNA,4998.011822483833,28770.138671875,34.97100067138672,North America
KOR,1397.0012770188114,45560.125,43.944000244140625,Asia
KWT,1560.982086267123,49400.35546875,33.4630012512207,Asia
LBN,2354.63637045236,12986.9130859375,28.106000900268555,Asia
LTU,8626.660627798916,39955.24609375,42.632999420166016,Europe
LUX,-463.0626771910046,117746.9921875,38.67599868774414,Europe
LVA,5606.776024872467,32992.3828125,42.94599914550781,Europe
MAC,1808.1245839774824,51840.140625,37.83100128173828,Asia
MDA,5175.4179453927745,13308.4169921875,37.47800064086914,Europe
MDV,1109.1742925375688,21271.318359375,30.339000701904297,Asia
MEX,5222.559435146288,20254.78125,28.527999877929688,North America
MKD,7828.03900538439,17128.759765625,39.90999984741211,Europe
MLT,1349.719896035171,48641.8515625,39.74599838256836,Europe
MNE,5027.247277907204,22108.73046875,39.08000183105469,Europe
MNG,102.75125473868756,12073.2451171875,26.617000579833984,Asia
MUS,1227.314688517348,22841.349609375,36.51300048828125,Africa
MYS,1289.7141874609133,28383.619140625,29.572999954223633,Asia
NAM,1225.8561648858515,9762.77734375,20.825000762939453,Africa
NIC,2616.5461260033526,5822.353515625,24.91200065612793,North America
NLD,2520.9020794881353,59249.16796875,41.4630012512207,Europe
